Comment;Designator;Footprint;Supplier and ref
Conn_Coaxial;J6;SMA_Molex_73251-1153_EdgeMount_Horizontal;C43302011
100n;C1,C4,C3,C9,C2;C_0402_1005Metric;C309458
Conn_01x08_Socket;J7;PinHeader_1x08_P2.54mm_Vertical;C9900212703
1k5;R8,R3,R9,R4,R2,R5;R_0402_1005Metric;C25867
10u;C5;C_0603_1608Metric;C96446
1k;R7,R6;R_0402_1005Metric;C49652832
USB_B_Micro;J1;USB_Micro-B_Wuerth_629105150521;C2894326
1u;C7,C8;C_0402_1005Metric;C52923
Conn_01x04_Pin;J2,J4,J3;PinHeader_1x04_P2.54mm_Vertical;C5116483
STM32F103C8T6;U1;LQFP-48_7x7mm_P0.5mm;C8734
SW_SPDT;SW1;SW_SPDT_PCM12;C221841
10n;C6;C_0402_1005Metric;C3855387
AMS1117-3.3;U2;SOT-223-3_TabPin2;C6186
16MHz;Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm;C112972
10p;C11,C10;C_0402_1005Metric;C106199
22u;C13,C12;C_0805_2012Metric;C452754
10k;R1;R_0402_1005Metric;C1002
220R;FB1;L_0603_1608Metric;C66810
RED;D1,D2,D3;LED_0603_1608Metric;C965798
